id,objet,montant,codecpv,categorie_cpv,procedure,datenotification,acheteur_id,acheteur_nom,titulaire_siret,offres_recues,lieu,formeprix
2024LIAISONFRO00,MARCHE DE LIAISON FROIDE POUR LE RESTAURANT SCOLAIRE ACCUEIL DE LOISIRS,110037.0,15894210-6,Alimentaire,Procédure adaptée,2023-12-11,21850210200013,,33232304700685,,Saint-Étienne-du-Bois,Révisable
2023CAO Lot 200,Fournitures de produits de matériels d'entretien et de consommables Lot 2 : Hygiène,80000.0,33770000-8,Matériel médical,Appel d'offres ouvert,2023-12-11,21910689500010,,53326478400026,,Wissous,Révisable
2023026700,LOCATION MAINTENANCE D'UNE MACHINE A AFFRANCHIR LE COURRIER AVEC PESEE AU PASSAGE,47920.0,30131400-0,Informatique & bureautique,Procédure adaptée,2023-12-11,20005684400018,,56204623500478,,LA MANCHE,Révisable
2023230022-12200,FOURNITURE DE MATERIEL MEDICAL,72000.0,33100000-1,Matériel médical,Procédure adaptée,2023-12-11,22600001600403,,78826433100042,,BEAUVAIS,Révisable
20232023F0600,Location-maintenance de bacs à ordures ménagères sur le territoire des Abymes,3294515.28,34928480-6,Transport & véhicules,Appel d'offres ouvert,2023-12-11,20001865300051,,32181911200400,,POINTE A PITRE,Révisable
202323PS001PS00,FOURNIT. DE GRPES ELECTROPOMPES AEP,600000.0,31680000-6,Matériel électrique,Appel d'offres ouvert,2023-12-11,87995525000045,,42513780900025,,ST PAUL,Ferme
2023015300,Location 5 véhicules électriques NHN,63611.0,34144900-7,Transport & véhicules,Marché passé sans publicité ni mise en concurrence préalable,2023-12-11,26270874600215,,32989236800021,,eure,Ferme
202398279000,"Rénovation, requalification et renforcement du réseau d'éclairage public",122319.0,34928500-3,Transport & véhicules,Procédure adaptée,2023-12-11,21440172100011,,40985159900509,,sainte luce sur loire,Révisable
2023504500085100,GR - BAXTER - GDMAO01 ALM,245437.5,33140000-3,Matériel médical,Appel d'offres ouvert,2023-12-11,26590673500013,,30431735700172,,FRANCE,Révisable
2023107A2300,ACHAT 2 PICK UP 4X4 HARDTOP,71684.06,34100000-8,Transport & véhicules,Appel d'offres ouvert,2023-12-11,20002359600014,,30321736800107,,DEPARTEMENT HAUTE GARONNE,Ferme
2023112A2300,2 VEHICULES TYPE FOURGON L3H2 12M3,82984.0,34100000-8,Transport & véhicules,Appel d'offres ouvert,2023-12-11,20002359600014,,49874786400011,,DEPARTEMENT HAUTE GARONNE,Ferme
20232023-57ALG00,Location de bâtiments modulaires,77718.48,39151300-8,Mobilier & ménager,Marché négocié sans publicité ni mise en concurrence préalable,2023-12-11,24090039900017,,68555065900179,,Varilhes,Ferme
20230840200,Achat de matériel informatique - Lot 2 - Petits équipements informatiques et logiciels standards,54000.0,30230000-0,Informatique & bureautique,Appel d'offres ouvert,2023-12-11,20002678900053,,42978416800065,,CARCASSONNE,Révisable
2023112COLAS0100,FOURNITURE DE MATERIAUX POUR L'ENTRETIEN DES VOIES DE LA COMPETENCE DE LA CCGSTG82_LOT 1 FOURNITURE D'EMULSION DE BITUME,164100.0,44113610-4,Matériaux de construction,Procédure adaptée,2023-12-11,20006665200013,,32933888302324,,Labastide-Saint-Pierre,Révisable
2023108A2300,3 VEHICULES UTILITAIRES TOLE 3M3 1 FOURG,88318.96,34100000-8,Transport & véhicules,Appel d'offres ouvert,2023-12-11,20002359600014,,33775314900059,,DEPARTEMENT HAUTE GARONNE,Ferme
2023Z00400,FOURN EQUIPT PROTEC INDIV VETEMT TX LOT4 ACCESOIRES DE SECURITE DIVERS,44000.0,18300000-2,Vêtements,Appel d'offres ouvert,2023-12-11,21130117100016,,42500921400304,,13127,Révisable
