id,objet,famille,type_marche,type_avis,procedure,acheteur,titulaire,departement,date_parution,url_avis
26_26660,MISSION DE COORDINATION DE SECURITE ET DE PROTECTION DE LA SANTE POUR LES TRAVAUX DE MISE A 2 X 2 VOIES DE LA RD 200 ENTRE LES CARREFOURS GIRATOIRES DES MARAIS ET DES POMMIERS AINSI QUE LA REALISATION,Marchés européens,SERVICES, | 10 | 6,Procédure Ouverte,Département de l&#039;Oise,DEKRA INDUSTRIAL SAS,60,2026-03-15,https://www.boamp.fr/pages/avis/?q=idweb:26-26660
26_26690,"Fourniture, mise en service et maintenance d'une solution SIG/GMAO complète de gestion du parc d'éclairage public, des interventions et des affaires",Marchés européens,SERVICES, | 10 | 6,Procédure Ouverte,Syndicat intercommunal d'énergies de Maine-et-Loire (Siéml),Entreprise  SIRAP,49,2026-03-15,https://www.boamp.fr/pages/avis/?q=idweb:26-26690
26_26689,Concours restreint de maitrise d'oeuvre pour la réalisation du siège de la police métropolitaine,Marchés européens,SERVICES, | 10 | 6,Procédure Restreinte,Metz Métropole,ATELIER LEBRETON+MARCZAK ARCHITECTURE,57,2026-03-15,https://www.boamp.fr/pages/avis/?q=idweb:26-26689
26_26721,Fourniture de livres pour la médiathèque l'Odyssée de la Communauté d'Agglomération du pays de Dreux,Marchés européens,FOURNITURES, | 10 | 6,Procédure Ouverte,CA du Pays de Dreux,la rose des vents | la rose des vents | la rose des vents | expodif,28,2026-03-15,https://www.boamp.fr/pages/avis/?q=idweb:26-26721
26_26733,FOURNITURE DE DENREES ALIMENTAIRES POUR LES ETABLISSEMENTS D’ACCUEIL DU JEUNE ENFANT (EAJE),Marchés européens,FOURNITURES, | 10 | 6,Procédure Ouverte,Communauté de Communes Médoc Estuaire,POMONA EPISAVEURS | LSVLOT | SYSCO FRANCE SAS,33,2026-03-15,https://www.boamp.fr/pages/avis/?q=idweb:26-26733
26_26750,Fourniture et livraison de titres-restaurant pour les agents de la ville de GHISONACCIA,Marchés européens,FOURNITURES, | 10 | 6,Procédure Ouverte,MAIRIE DE GHISONACCIA,UP COOP,20B,2026-03-15,https://www.boamp.fr/pages/avis/?q=idweb:26-26750
26_26136,Travaux d’entretien courant des chaussées du réseau routier national non concédé géré par la Direction des Routes Île-de-France,Marchés européens,TRAVAUX, | 10 | 6,Procédure Ouverte,DRIEAT IF/DIRIF,SAS JEAN LEFEBVRE IDF | S.A.S. EUROVIA ILE DE FRANCE | S.A.S. WATELET TP | S.A.S. COCHERY IDF | S.A.S. EMULITHE | SAS EIFFAGE ROUTE IDF CENTRE OUEST | COLAS France SAS Territoire Ile-de-France Normandie | COLAS France,94,2026-03-15,https://www.boamp.fr/pages/avis/?q=idweb:26-26136
26_26153,Fourniture et livraison de repas en liaison froide,Marchés européens,SERVICES, | 10 | 6,Procédure Ouverte,CC DE L OUST A BROCELIANDE COMMUNAUTE,ANSAMBLE | SAS CONVIVIO-RCO,56,2026-03-15,https://www.boamp.fr/pages/avis/?q=idweb:26-26153
26_26372,PRESTATIONS DE MAINTENANCE IPBX ET DE TELEPHONES FIXES AU PROFIT DE L’EDA,Marchés européens,SERVICES, | 10 | 6,Procédure Ouverte,Economat des armées,STELOGY,93,2026-03-15,https://www.boamp.fr/pages/avis/?q=idweb:26-26372
26_26329,Concours restreint de maîtrise d'oeuvre pour la rénovation et l'extension du site du Clos du Vivier à Gradignan,Marchés européens,SERVICES, | 10 | 6,Procédure Restreinte,VILLE DE GRADIGNAN,S.A.R.L. AGENCE D'ARCHITECTURE FERRON & MONNEREAU | S.A.S. ATELIER FGA | S.A.R.L. ATELIER GIET ARCHITECTURE,33,2026-03-15,https://www.boamp.fr/pages/avis/?q=idweb:26-26329
