id,objet,montant,codecpv,procedure,offres_recues,acheteur_id,acheteur_nom,titulaire_siret,titulaire_nom,titulaire_activite,titulaire_effectifs,titulaire_commune,date,score_sous_enchere,raisons_score,economie_estimee_basse,economie_estimee_haute
243229,Fourniture de spécialités pharmaceutiques au profit des adhérents du GCS GRAPS Grand Est - marchés négociés lot 796,475650.0,33600000-6,Marché passé sans publicité ni mise en concurrence préalable,1.0,13002682600011,,,,,,,2023-12-20,90,Sans concurrence (+15) | 1 seule offre (+15) | Categorie COTS (+5) | Montant accessible (+5),71348,166478
243224,"Fourniture de spécialités pharmaceutiques au profit des adhérents du GCS GRAPS Grand Est - marchés négociés lots 227, 774, 810",403098.0,33600000-6,Marché passé sans publicité ni mise en concurrence préalable,1.0,13002682600011,,52926101800038,,,,,2023-12-20,90,Sans concurrence (+15) | 1 seule offre (+15) | Categorie COTS (+5) | Montant accessible (+5),60465,141084
243228,"Fourniture de spécialités pharmaceutiques au profit des adhérents du GCS GRAPS Grand Est - marchés négociés lots 50, 186, 190",289090.0,33600000-6,Marché passé sans publicité ni mise en concurrence préalable,1.0,13002682600011,,85210884400022,,,,,2023-12-20,90,Sans concurrence (+15) | 1 seule offre (+15) | Categorie COTS (+5) | Montant accessible (+5),43364,101182
243222,"Fourniture de spécialités pharmaceutiques au profit des adhérents du GCS GRAPS Grand Est - marchés négociés lots 920, 923 et 927",272392.0,33600000-6,Marché passé sans publicité ni mise en concurrence préalable,1.0,13002682600011,,,,,,,2023-12-21,90,Sans concurrence (+15) | 1 seule offre (+15) | Categorie COTS (+5) | Montant accessible (+5),40859,95337
2024000023SF0400,GSI - ACQUISITION MAINTENANCE PRESTATIONS ET EVOLUTIONS AUTOUR DE GIMA OFFICE SUITE ET GIMA DIGITAL SUITE,220000.0,48000000-8,Marché négocié sans publicité ni mise en concurrence préalab,,28691200100042,,34054699300668,NEXPUBLICA FRANCE (NEXPUBLICA),,42,CLICHY,2023-12-15,90,Sans concurrence (+15) | Fournisseur captif 14 marches (+5) | 10 marches sans concurrence (+10) | Categorie COTS (+5) | Montant accessible (+5),33000,77000
2023SC0138000000,SCALEWAY 0012165 PRESTAT° A LUSAGE,213291.36,30000000-9,Marché négocié sans publicité ni mise en concurrence préalab,,23971001500029,,77605646700587,UNION DES GROUPEMENTS D'ACHATS PUBLICS (UGAP) (UGAP),,42,CHAMPS-SUR-MARNE,2023-12-20,90,Sans concurrence (+15) | Fournisseur captif 12 marches (+5) | 3 marches sans concurrence (+10) | Categorie COTS (+5) | Montant accessible (+5),31994,74652
23020200,Achat de véhicules de service urbains écologiques,99500.0,34144900-7,Marché passé sans publicité ni mise en concurrence préalable,1.0,20005340300057,,88750249000014,,,,,2023-12-26,90,Sans concurrence (+15) | 1 seule offre (+15) | Categorie COTS (+5) | Montant accessible (+5),14925,34825
243234,Fourniture de spécialités pharmaceutiques au profit des adhérents du GCS GRAPS Grand Est - marchés négociés lot 141,92697.0,33600000-6,Marché passé sans publicité ni mise en concurrence préalable,1.0,13002682600011,,35256308400040,,,,,2023-12-20,90,Sans concurrence (+15) | 1 seule offre (+15) | Categorie COTS (+5) | Montant accessible (+5),13905,32444
243226,Fourniture de spécialités pharmaceutiques au profit des adhérents du GCS GRAPS Grand Est - marchés négociés lot 97,85269.0,33600000-6,Marché passé sans publicité ni mise en concurrence préalable,1.0,13002682600011,,81058510900020,,,,,2023-12-20,90,Sans concurrence (+15) | 1 seule offre (+15) | Categorie COTS (+5) | Montant accessible (+5),12790,29844
243227,"Fourniture de spécialités pharmaceutiques au profit des adhérents du GCS GRAPS Grand Est - marchés négociés lots 826, 877, 880, 898, 899, 900, 901, 90",5267186.0,33600000-6,Marché passé sans publicité ni mise en concurrence préalable,1.0,13002682600011,,39136097100058,,,,,2023-12-20,85,Sans concurrence (+15) | 1 seule offre (+15) | Categorie COTS (+5),790078,1843515
202305700,ASSURANCE FLOTTE VÉHICULES ET RISQUES ANNEXES - RELANCE,4726909.98,66514110-0,Marché négocié sans publicité ni mise en concurrence préalab,,28770831700014,,30130960500410,,,,,2023-12-26,85,Sans concurrence (+15) | Fournisseur captif 100 marches (+5) | 5 marches sans concurrence (+10) | Montant accessible (+5),709036,1654418
